airport,lat,long
MSY,29.99340057373047,-90.25800323486328
SNA,33.675701,-117.867996
BUR,34.197703,-118.356378
GRR,42.88079834,-85.52279663
MYR,33.6796989441,-78.9282989502
GSO,36.097801208496094,-79.93730163574219
PVD,41.732601,-71.420403
OAK,37.721298,-122.221001
MSN,43.1399,-89.337502
DCA,38.8521,-77.037697
LEX,38.0364990234375,-84.60590362548828
ORF,36.89459991455078,-76.20120239257812
CRW,38.37310028076172,-81.59320068359375
SAV,32.12760162,-81.20210266
CMH,39.998001,-82.891899
CAK,40.916099548339844,-81.44219970703125
CHO,38.13859939575195,-78.4529037475586
IAH,29.984399795532227,-95.34140014648438
CVG,39.048801,-84.667801
SJC,37.362598,-121.929001
BUF,42.94049835,-78.73220062
AUS,30.197535,-97.662015
AVL,35.436199,-82.541801
LGB,33.817699,-118.152
SRQ,27.39539909362793,-82.55439758300781
EYW,24.556101,-81.759598
SBN,41.708698,-86.317299
JAC,43.6072998046875,-110.73799896240234
CHS,32.898602,-80.040497
RSW,26.53619956970215,-81.75520324707031
TUL,36.19839859008789,-95.88809967041016
BOS,42.3643,-71.005203
LAS,36.08010101,-115.1520004
XNA,36.281898,-94.306801
DEN,39.861698150635,-104.672996521
ALB,42.74829864501953,-73.80169677734375
IAD,38.9445,-77.455803
PSP,33.8297,-116.507004
SEA,47.449001,-122.308998
MCI,39.2976,-94.713898
CLT,35.2140007019043,-80.94309997558594
BNA,36.1245002746582,-86.6781997680664
PBI,26.68320083618164,-80.09559631347656
ABQ,35.040199,-106.609001
SDF,38.1744,-85.736
BDL,41.9388999939,-72.68319702149999
CLE,41.4117012024,-81.8498001099
PDX,45.58869934,-122.5979996
ACK,41.25310135,-70.06020355
MIA,25.79319953918457,-80.29060363769531
TPA,27.975500106811523,-82.533203125
BWI,39.1754,-76.668297
OKC,35.39310073852539,-97.60070037841797
SMF,38.69540023803711,-121.59100341796875
PHX,33.435302,-112.005905
STL,38.748697,-90.370003
PWM,43.646198,-70.309303
DFW,32.896801,-97.038002
MHT,42.932598,-71.435699
GSP,34.895699,-82.218903
HDN,40.48120117,-107.2180023
EGE,39.64260101,-106.9179993
SFO,37.61899948120117,-122.375
MEM,35.04240036010742,-89.97669982910156
BHM,33.56290054,-86.75350189
ATL,33.6367,-84.428101
FLL,26.072599,-80.152702
RIC,37.50519943237305,-77.3197021484375
DAY,39.902400970458984,-84.21939849853516
OMA,41.3032,-95.894096
MVY,41.3931007385,-70.6143035889
CAE,33.93880081176758,-81.11949920654297
ORD,41.9786,-87.9048
BTV,44.471900939899996,-73.15329742429999
ILM,34.270599365234375,-77.90260314941406
RDU,35.877601623535156,-78.7874984741211
MKE,42.947200775146484,-87.89659881591797
SYR,43.11119842529297,-76.1063003540039
PIT,40.49150085,-80.23290253
MTJ,38.509799957300004,-107.893997192
MDW,41.785999,-87.752403
IND,39.7173,-86.294403
DTW,42.212398529052734,-83.35340118408203
HOU,29.64539909,-95.27890015
TYS,35.81100082,-83.9940033
JAX,30.49410057067871,-81.68789672851562
LAX,33.942501,-118.407997
MSP,44.882,-93.221802
BGR,44.80739974975586,-68.8281021118164
MCO,28.429399490356445,-81.30899810791016
ROC,43.1189,-77.672401
SAN,32.7336006165,-117.190002441
BZN,45.77750015,-111.1529999
PHL,39.87189865112305,-75.24109649658203
DSM,41.534,-93.663101
SLC,40.785749,-111.979746
SAT,29.533701,-98.469803
LGA,40.777199,-73.872597
TVC,44.74140167236328,-85.58219909667969
EWR,40.692501,-74.168701
JFK,40.639801,-73.7789
PSE,18.0083,-66.5630
HNL,21.3187,-157.9225
SJU,18.4394,-66.0018
BQN,18.4949,-67.1294
STT,18.3373,-64.9734
ANC,61.1743,-149.9984
